Date,Price,Open,High,Low,Change 
2015-07-20,81319.97,82813.58,82894.5,81014.45,-0.02
2015-07-21,81583.62,81688.73,81888.14,80960.94,0
2015-07-22,81222.38,81736.74,81856.73,80677.01,0
2015-07-23,78336.57,81201.91,81201.91,78164.14,-0.04
2015-07-24,78712.07,78151.53,79256.36,77726.17,0
2015-07-27,77351.98,78724.77,79171.13,77230.1,-0.02
2015-07-28,78024.02,77687.15,78729.32,77687.15,0.01
2015-07-29,78079.76,78140.69,78635.12,77667.29,0
2015-07-30,78271.49,77633.03,78889.41,77534.29,0
2015-07-31,79909.68,78518.73,79909.68,78125.75,0.02
2015-08-03,78164.09,79879.67,79879.67,78022.7,-0.02
2015-08-04,78234.86,78463.47,78753.82,77805.61,0
2015-08-05,78134.32,78095.07,78562.43,77714.37,0
2015-08-06,78803.08,78416.07,79030.09,78325.49,0.01
2015-08-07,78427.06,79003.54,79123.64,78173.79,0
2015-08-10,77495.29,78592,78759.44,77309.97,-0.01
2015-08-11,79719.99,78516.85,79908.65,78516.85,0.03
2015-08-12,78174.81,78887.36,79062.94,78085.44,-0.02
2015-08-13,77085.5,78234.85,78234.85,75802.3,-0.01
2015-08-14,77308.95,76780.08,77699.27,76484.42,0
2015-08-17,76922.44,77357.71,77569.71,76368.69,-0.01
2015-08-18,75960.11,76428.76,76894.55,75960.11,-0.01
2015-08-19,75299.59,76323.17,76646.78,75188,-0.01
2015-08-20,74681.84,75086.85,75086.85,73697.07,-0.01
2015-08-21,73797.77,74392.08,74623.33,73520.06,-0.01
2015-08-24,71341.95,72638.68,72638.68,69797.4,-0.03
2015-08-25,73509.71,72191.09,73778.35,71997.2,0.03
2015-08-26,73615.91,73375.81,74140.94,72770,0
2015-08-27,74813.48,74589.12,75157.89,74475.76,0.02
2015-08-28,74641.6,74981.53,75156.94,74020.06,0
2015-08-31,75210.37,74549.23,75320.7,74526.15,0.01
2015-09-01,73569.66,74843.84,74899.14,73375,-0.02
2015-09-02,73656.12,73872.64,74260.7,73434.13,0
2015-09-03,74004.13,74031.62,74397.64,73291.42,0
2015-09-04,72950.11,73427.59,73997.88,72896.43,-0.01
2015-09-07,71865.82,72435.48,72435.48,71557.42,-0.01
2015-09-08,72051.79,72375.07,72628.86,71594.5,0
2015-09-09,72003.34,72788.05,72895.52,71992.5,0
2015-09-10,71846.52,71743.32,71954.44,71263.32,0
2015-09-11,71350.87,71972.11,71993.94,71349.56,-0.01
2015-09-14,71299.43,71625.57,71682.49,71050.41,0
2015-09-15,73173.35,71490.04,73196.09,71307.53,0.03
2015-09-16,74149.46,73299.28,74378.49,73013.27,0.01
2015-09-17,74980.56,74052.52,74980.56,73845.98,0.01
2015-09-18,75099.03,74880.25,75102.09,74011.44,0
2015-09-21,75860.7,74879.84,76028.31,74524.74,0.01
2015-09-22,74993.71,76046.81,76189.52,74593.1,-0.01
2015-09-23,74610.2,74833.33,75070.2,74610.2,-0.01
2015-09-28,73314.99,74759.47,75128.26,73314.99,-0.02
2015-09-29,74257.65,72865.87,74327.49,72638.09,0.01
2015-09-30,74205.47,74649.96,74752.94,73783.35,0
2015-10-01,74530.96,74623.07,74835.8,74020.55,0
2015-10-02,74396.65,74570.7,74691.2,73826.02,0
2015-10-05,76902.54,75312.53,76902.54,75312.53,0.03
2015-10-06,77258.59,76977.32,77606.67,76625.12,0
2015-10-07,78698.17,77822.39,78726.61,77632.84,0.02
2015-10-08,78661.03,78309.44,79245.68,78013.35,0
2015-10-09,79214.93,79237.1,79616.1,78842.36,0.01
2015-10-12,79300.09,78547.45,79619.64,78547.45,0
2015-10-13,78358.61,79342.9,79495.46,77889.5,-0.01
2015-10-14,79380.24,78388.89,79502.62,78317.59,0.01
2015-10-15,79263.26,80012.83,80383.05,79263.26,0
2015-10-16,78483.55,79614.92,79614.92,78483.55,-0.01
2015-10-19,79734.54,78845.95,79894.92,78845.95,0.02
2015-10-20,80496.48,79810.15,80594.1,79678.11,0.01
2015-10-21,79765.28,80395.79,80423.96,79284.41,-0.01
2015-10-22,80255.91,79842.74,80532.23,79842.74,0.01
2015-10-23,80124.84,80892.37,81066.72,80091.17,0
2015-10-26,79262.26,80172.36,80403.05,79219.64,-0.01
2015-10-27,78662.51,79206.19,79384.03,78094.91,-0.01
2015-10-28,78536.29,78633.89,78650.89,77999.78,0
2015-10-30,79409,78230.28,79504.68,77585.44,0.01
2015-11-02,83693.61,83653.72,84354.08,83229.46,0.05
2015-11-03,82913.85,83857.05,83926.68,82853.22,-0.01
2015-11-04,83684.07,83284.7,83784.77,83284.7,0.01
2015-11-05,82955.67,83234.86,83329.36,82546.74,-0.01
2015-11-06,81930.21,83201.42,83231.88,81718.47,-0.01
2015-11-09,82050.14,82000.37,82622.2,81757.19,0
2015-11-10,81174.1,82311.31,82592.47,81174.1,-0.01
2015-11-11,81717.99,81484.5,82364.99,81484.5,0.01
2015-11-12,82143.43,82217.35,82295.7,81426.17,0.01
2015-11-13,81878.75,82126.93,82292.34,81624.84,0
2015-11-16,81046.42,81580.64,81822.37,81018.67,-0.01
2015-11-17,81152.85,81325.66,81857.53,81152.85,0
2015-11-18,80514.17,81064,81476.48,80336.11,-0.01
2015-11-19,80441.2,80860.34,81117.98,80185.7,0
2015-11-20,80681.67,80397.56,81121.69,80384.51,0
2015-11-23,79744.79,80652.61,80784.15,79744.79,-0.01
2015-11-24,76242.98,79868.8,80008.03,76095.76,-0.04
2015-11-25,76836.52,76570.12,76975.33,75520.73,0.01
2015-11-26,74997.64,76624.54,76690.36,74992.98,-0.02
2015-11-27,75638.43,74824,76522.93,74824,0.01
2015-11-30,75232.79,75638.43,76535.24,75097.07,-0.01
2015-12-01,76785.45,75232.79,76785.45,75232.79,0.02
2015-12-02,76394.96,76785.45,77766.72,76246.26,-0.01
2015-12-03,75452.84,76394.96,77141.32,75392.35,-0.01
2015-12-04,74265.3,75452.84,75887.79,73370.84,-0.02
2015-12-07,73908.89,74265.3,74534.13,73354.74,0
2015-12-08,73100.86,73908.89,74204.29,72954.62,-0.01
2015-12-09,74583.74,73100.86,74732.11,72948.46,0.02
2015-12-10,72354.16,74583.74,75237.06,72012.65,-0.03
2015-12-11,70280.34,72354.16,72511.95,70280.34,-0.03
2015-12-14,69308.74,70280.34,71695.94,69190.95,-0.01
2015-12-15,72156.79,69308.74,72391.87,69308.74,0.04
2015-12-16,72831.78,72156.79,72887.89,71397.03,0.01
2015-12-17,73711.88,72831.78,74178.78,72823.45,0.01
2015-12-18,72460.35,73711.88,73711.88,72203.09,-0.02
2015-12-21,73328.16,72460.35,73781.35,72460.35,0.01
2015-12-22,73102.1,73328.16,73380.14,72220.54,0
2015-12-23,74044.89,73102.1,74498.61,73102.1,0.01
2015-12-24,74050.35,74044.89,74393.68,73864.96,0
2015-12-25,74189.53,74050.35,74227.85,73994.66,0
2015-12-28,74243.17,74189.53,74953.61,74189.53,0
2015-12-29,73912.61,74243.17,74527.68,73692.94,0
2015-12-30,73200.69,73912.61,74004.94,73064.64,-0.01
2015-12-31,71726.99,73200.69,73372.07,71433.59,-0.02
2016-01-04,70518.35,71726.99,71726.99,69880.43,-0.02
2016-01-05,70688.1,70518.35,71253.47,69395.82,0
2016-01-06,71197.94,70688.1,71267.13,69713.49,0.01
2016-01-07,71495.93,71197.94,71640.24,69687.85,0
2016-01-08,70613.2,71495.93,72131.92,70407.76,-0.01
2016-01-11,71048.98,70397.28,71621.86,70111.51,0.01
2016-01-12,71740.41,71033.3,72100.1,70516.46,0.01
